,DATE,POSITIVE,NEUTRAL,NEGATIVE
0,2014-01-01,2,5,1
1,2014-01-02,15,12,6
2,2014-01-03,8,6,7
3,2014-01-04,3,2,0
4,2014-01-05,3,1,0
5,2014-01-06,9,10,4
6,2014-01-07,14,11,5
7,2014-01-08,4,7,0
8,2014-01-09,4,2,3
9,2014-01-10,5,14,6
10,2014-01-11,3,4,0
11,2014-01-12,2,1,1
12,2014-01-13,4,9,1
13,2014-01-14,7,11,6
14,2014-01-15,21,14,3
15,2014-01-16,6,13,6
16,2014-01-19,2,1,0
17,2014-01-20,3,2,0
18,2014-01-21,4,7,2
19,2014-01-22,18,12,5
20,2014-01-23,10,14,4
21,2014-01-24,13,24,4
22,2014-01-25,8,7,1
23,2014-01-26,4,9,3
24,2014-01-27,23,58,13
25,2014-01-28,46,65,17
26,2014-01-29,10,23,9
27,2014-01-30,5,12,4
28,2014-01-31,5,12,1
29,2014-02-01,2,9,1
30,2014-02-02,8,2,5
31,2014-02-03,5,12,2
32,2014-02-04,6,11,4
33,2014-02-05,6,8,4
34,2014-02-06,3,8,3
35,2014-02-07,23,24,8
36,2014-02-08,9,5,3
37,2014-02-09,5,5,0
38,2014-02-10,11,14,4
39,2014-02-11,13,6,2
40,2014-02-12,8,7,2
41,2014-02-13,13,12,5
42,2014-02-14,7,9,1
43,2014-02-15,9,8,1
44,2014-02-16,6,15,10
45,2014-02-17,4,9,2
46,2014-02-18,9,20,4
47,2014-02-19,7,10,1
48,2014-02-20,4,15,3
49,2014-02-21,7,15,6
50,2014-02-22,14,1,2
51,2014-02-23,2,5,3
52,2014-02-24,6,5,1
53,2014-02-25,5,14,3
54,2014-02-26,7,6,4
55,2014-02-27,14,17,8
56,2014-02-28,10,17,9
57,2014-03-01,1,9,7
58,2014-03-02,4,2,8
59,2014-03-03,2,9,3
60,2014-03-04,6,15,13
61,2014-03-05,5,9,8
62,2014-03-06,3,7,4
63,2014-03-07,5,15,7
64,2014-03-08,2,9,1
65,2014-03-09,1,3,0
66,2014-03-10,10,9,2
67,2014-03-11,3,16,1
68,2014-03-12,7,7,5
69,2014-03-13,3,7,3
70,2014-03-14,4,12,3
71,2014-03-15,2,1,1
72,2014-03-16,3,6,0
73,2014-03-17,2,12,1
74,2014-03-18,3,23,3
75,2014-03-19,5,9,8
76,2014-03-20,3,3,0
77,2014-03-21,4,9,1
78,2014-03-22,2,5,3
79,2014-03-23,1,5,0
80,2014-03-24,8,13,9
81,2014-03-25,4,15,6
82,2014-03-26,9,13,0
83,2014-03-27,6,10,7
84,2014-03-28,3,9,4
85,2014-03-29,2,5,2
86,2014-03-30,2,3,1
87,2014-03-31,5,10,6
88,2014-04-01,7,13,5
89,2014-04-02,11,17,7
90,2014-04-03,3,14,8
91,2014-04-04,3,10,4
92,2014-04-05,5,9,1
93,2014-04-06,4,6,6
94,2014-04-07,4,9,4
95,2014-04-08,8,21,2
96,2014-04-09,2,29,5
97,2014-04-10,7,26,9
98,2014-04-11,5,26,8
99,2014-04-12,2,10,1
100,2014-04-13,10,4,1
101,2014-04-14,4,7,5
102,2014-04-15,8,10,3
103,2014-04-16,5,11,3
104,2014-04-17,4,12,2
105,2014-04-18,9,10,4
106,2014-04-19,3,8,1
107,2014-04-20,8,6,1
108,2014-04-21,9,14,3
109,2014-04-22,3,14,6
110,2014-04-23,44,61,15
111,2014-04-24,51,56,13
112,2014-04-25,34,23,6
113,2014-04-26,28,11,4
114,2014-04-27,1,12,4
115,2014-04-28,10,29,7
116,2014-04-29,12,10,9
117,2014-04-30,15,20,4
118,2014-05-01,14,29,3
119,2014-05-02,7,21,4
120,2014-05-03,4,15,6
121,2014-05-04,5,9,2
122,2014-05-05,11,13,3
123,2014-05-06,10,21,4
124,2014-05-07,9,25,3
125,2014-05-08,4,7,0
126,2014-05-09,12,28,8
127,2014-05-10,6,6,2
128,2014-05-11,1,4,1
129,2014-05-12,3,7,6
130,2014-05-13,1,9,4
131,2014-05-14,2,13,1
132,2014-05-15,3,3,6
133,2014-05-16,4,14,2
134,2014-05-17,3,5,3
135,2014-05-18,18,4,3
136,2014-05-19,9,7,8
137,2014-05-20,7,11,2
138,2014-05-21,4,13,3
139,2014-05-22,9,13,3
140,2014-05-23,7,11,5
141,2014-05-24,4,1,1
142,2014-05-25,2,3,1
143,2014-05-26,4,6,0
144,2014-05-27,18,34,13
