,SENTIMENT
0,1
1,-1
2,-1
3,0
4,1
5,0
6,-1
7,0
8,1
9,1
10,0
11,-1
12,1
13,0
14,1
15,-1
16,1
17,0
18,1
19,1
20,1
21,0
22,0
23,0
24,0
25,-1
26,0
27,1
28,0
29,1
30,0
31,0
32,0
33,0
34,1
35,-1
36,0
37,0
38,-1
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,-1
47,1
48,1
49,-1
50,1
51,1
52,0
53,1
54,1
55,1
56,1
57,0
58,0
59,1
60,-1
61,1
62,1
63,1
64,1
65,0
66,0
67,0
68,1
69,1
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,1
78,1
79,1
80,1
81,1
82,-1
83,1
84,-1
85,1
86,0
87,0
88,0
89,0
90,-1
91,0
92,0
93,1
94,0
95,0
96,1
97,0
98,1
99,0
100,1
101,1
102,1
103,1
104,1
105,0
106,1
107,0
108,0
109,-1
110,-1
111,1
112,1
113,0
114,0
115,0
116,1
117,1
118,0
119,1
120,0
