,Open1,Open2,Open3,Open4,Open5,High1,High2,High3,High4,High5,Low1,Low2,Low3,Low4,Low5,Close1,Close2,Close3,Close4,Close5,Adj Close1,Adj Close2,Adj Close3,Adj Close4,Adj Close5,Volume1,Volume2,Volume3,Volume4,Volume5,Positive1,Positive2,Positive3,Positive4,Positive5,Neutral1,Neutral2,Neutral3,Neutral4,Neutral5,Negative1,Negative2,Negative3,Negative4,Negative5,High,Low,Close
0,79.382858,79.167145,79.637146,80.545715,81.157143,79.575714,80.182854,80.012856,80.629997,81.35714,78.860001,79.14286,78.902855,79.928574,80.482857,79.01857,80.145714,79.21714,80.012856,80.557144,73.52253,74.571281,73.707298,74.44767,74.954094,58671200,55771100,63407400,56471100,51002000,15,0,0,0,0,12,0,0,0,0,6,0,0,0,0,79.099998,77.204285,77.28286
1,78.980003,79.382858,79.167145,79.637146,80.545715,79.099998,79.575714,80.182854,80.012856,80.629997,77.204285,78.860001,79.14286,78.902855,79.928574,77.28286,79.01857,80.145714,79.21714,80.012856,71.907555,73.52253,74.571281,73.707298,74.44767,98116900,58671200,55771100,63407400,56471100,8,15,0,0,0,6,12,0,0,0,7,6,0,0,0,78.114288,76.228569,77.704285
2,76.778572,78.980003,79.382858,79.167145,79.637146,78.114288,79.099998,79.575714,80.182854,80.012856,76.228569,77.204285,78.860001,79.14286,78.902855,77.704285,77.28286,79.01857,80.145714,79.21714,72.299644,71.907555,73.52253,74.571281,73.707298,103152700,98116900,58671200,55771100,63407400,9,8,15,0,0,10,6,12,0,0,4,7,6,0,0,77.994286,76.845711,77.148575
3,77.760002,76.778572,78.980003,79.382858,79.167145,77.994286,78.114288,79.099998,79.575714,80.182854,76.845711,76.228569,77.204285,78.860001,79.14286,77.148575,77.704285,77.28286,79.01857,80.145714,71.782608,72.299644,71.907555,73.52253,74.571281,79302300,103152700,98116900,58671200,55771100,14,9,8,15,0,11,10,6,12,0,5,4,7,6,0,77.937141,76.955711,77.637146
4,76.972855,77.760002,76.778572,78.980003,79.382858,77.937141,77.994286,78.114288,79.099998,79.575714,76.955711,76.845711,76.228569,77.204285,78.860001,77.637146,77.148575,77.704285,77.28286,79.01857,72.23719,71.782608,72.299644,71.907555,73.52253,64632400,79302300,103152700,98116900,58671200,4,14,9,8,15,7,11,10,6,12,0,5,4,7,6,78.122856,76.478569,76.645714
5,78.114288,76.972855,77.760002,76.778572,78.980003,78.122856,77.937141,77.994286,78.114288,79.099998,76.478569,76.955711,76.845711,76.228569,77.204285,76.645714,77.637146,77.148575,77.704285,77.28286,71.314728,72.23719,71.782608,72.299644,71.907555,69787200,64632400,79302300,103152700,98116900,4,4,14,9,8,2,7,11,10,6,3,0,5,4,7,77.257141,75.872856,76.134285
6,77.118568,78.114288,76.972855,77.760002,76.778572,77.257141,78.122856,77.937141,77.994286,78.114288,75.872856,76.478569,76.955711,76.845711,76.228569,76.134285,76.645714,77.637146,77.148575,77.704285,70.838882,71.314728,72.23719,71.782608,72.299644,76244000,69787200,64632400,79302300,103152700,5,4,4,14,9,14,2,7,11,10,6,3,0,5,4,77.5,75.697144,76.53286
7,75.701431,77.118568,78.114288,76.972855,77.760002,77.5,77.257141,78.122856,77.937141,77.994286,75.697144,75.872856,76.478569,76.955711,76.845711,76.53286,76.134285,76.645714,77.637146,77.148575,71.209717,70.838882,71.314728,72.23719,71.782608,94623200,76244000,69787200,64632400,79302300,4,5,4,4,14,9,14,2,7,11,1,6,3,0,5,78.104286,76.808571,78.055717
8,76.888573,75.701431,77.118568,78.114288,76.972855,78.104286,77.5,77.257141,78.122856,77.937141,76.808571,75.697144,75.872856,76.478569,76.955711,78.055717,76.53286,76.134285,76.645714,77.637146,72.626656,71.209717,70.838882,71.314728,72.23719,83140400,94623200,76244000,69787200,64632400,7,4,5,4,4,11,9,14,2,7,6,1,6,3,0,80.028572,78.808571,79.622856
9,79.074287,76.888573,75.701431,77.118568,78.114288,80.028572,78.104286,77.5,77.257141,78.122856,78.808571,76.808571,75.697144,75.872856,76.478569,79.622856,78.055717,76.53286,76.134285,76.645714,74.084801,72.626656,71.209717,70.838882,71.314728,97909700,83140400,94623200,76244000,69787200,21,7,4,5,4,14,11,9,14,2,3,6,1,6,3,79.550003,78.811432,79.178574
